"MEASURE","Data item","REGIONTYPE","Geography Level","LGA_2019","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","22620","Greater Bendigo (C)","A","Annual","2016","2016",41.2,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","22670","Greater Dandenong (C)","A","Annual","2016","2016",70.6,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","22670","Greater Dandenong (C)","A","Annual","2016","2016",64.5,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","22670","Greater Dandenong (C)","A","Annual","2016","2016",41022,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","22670","Greater Dandenong (C)","A","Annual","2016","2016",52.8,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","22750","Greater Geelong (C)","A","Annual","2016","2016",87.3,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","22750","Greater Geelong (C)","A","Annual","2016","2016",10.6,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","22750","Greater Geelong (C)","A","Annual","2016","2016",45256,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","22750","Greater Geelong (C)","A","Annual","2016","2016",46.4,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","22830","Greater Shepparton (C)","A","Annual","2016","2016",84.2,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","22830","Greater Shepparton (C)","A","Annual","2016","2016",14.7,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","22830","Greater Shepparton (C)","A","Annual","2016","2016",41557,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","22830","Greater Shepparton (C)","A","Annual","2016","2016",36.1,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","22910","Hepburn (S)","A","Annual","2016","2016",86.6,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","22910","Hepburn (S)","A","Annual","2016","2016",4.7,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","22910","Hepburn (S)","A","Annual","2016","2016",40663,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","22910","Hepburn (S)","A","Annual","2016","2016",43.2,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","22980","Hindmarsh (S)","A","Annual","2016","2016",89.8,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","22980","Hindmarsh (S)","A","Annual","2016","2016",5.4,,
